    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     535       11415.5     0.0498   1.551E+01   1.4000   0.2674   1.893E-17   3.64363850E+00   8.48254891E+00
     540       11491.8     0.0383   1.497E+01   1.4000   0.2743   1.447E-17   3.64133442E+00   8.48738871E+00
     545       11566.1     0.0391   1.467E+01   1.4000   0.2949   1.808E-17   3.63909777E+00   8.49039024E+00
     550       11640.4     0.0384   1.467E+01   1.4000   0.3165   1.600E-17   3.63687921E+00   8.49517606E+00
     555         11700     0.0385   1.499E+01   1.4000   0.3251   1.546E-17   3.63512335E+00   8.49965345E+00
     560       11775.4     0.0495   1.544E+01   1.4000   0.3021   1.921E-17   3.63291181E+00   8.50238918E+00
     565       11852.9     0.0387   1.536E+01   1.4000   0.2693   2.242E-17   3.63061281E+00   8.50383812E+00
     570         11931     0.0383   1.602E+01   1.4000   0.3198   1.997E-17   3.62821291E+00   8.50571904E+00
     575         12000     0.0384   1.658E+01   1.4000   0.3197   1.815E-17   3.62597979E+00   8.50576026E+00
     580       12085.7     0.0503   1.717E+01   1.4000   0.3232   1.611E-17   3.62302120E+00   8.50425552E+00
     585       12171.7     0.0387   1.706E+01   1.4000   0.3453   1.768E-17   3.61990482E+00   8.50309261E+00
     590       12256.4     0.0388   1.650E+01   1.4000   0.3320   2.066E-17   3.61681178E+00   8.50315021E+00
     595       12332.2     0.0501   1.602E+01   1.4000   0.2891   1.740E-17   3.61412714E+00   8.50456319E+00
     600       12410.7     0.0392   1.522E+01   1.4000   0.2526   2.328E-17   3.61147140E+00   8.50026140E+00
     605         12486     0.0389   1.483E+01   1.4000   0.2689   2.221E-17   3.60904065E+00   8.48686472E+00
     610         12561     0.0414   1.506E+01   1.4000   0.3366   1.918E-17   3.60668052E+00   8.47094995E+00
     615       12629.9     0.0518   1.505E+01   1.4000   0.3367   1.909E-17   3.60453217E+00   8.45506873E+00
     620       12708.5     0.0387   1.705E+01   1.4000   0.3985   1.849E-17   3.60208623E+00   8.43030166E+00
     625       12793.2     0.0389   1.781E+01   1.4000   0.3784   1.835E-17   3.59945498E+00   8.39809506E+00
     630       12882.4     0.0390   1.763E+01   1.3603   0.3262   1.908E-17   3.59665765E+00   8.36869040E+00
     635       12973.2     0.0518   1.807E+01   1.4000   0.3215   1.666E-17   3.59372338E+00   8.34241890E+00
     640       13058.5     0.0450   1.625E+01   1.4000   0.2758   1.673E-17   3.59089942E+00   8.31459988E+00
     645         13138     0.0457   1.525E+01   1.4000   0.2564   1.957E-17   3.58825740E+00   8.28862821E+00
     650         13200     0.0447   1.567E+01   1.4000   0.2808   1.721E-17   3.58619964E+00   8.27010430E+00
     655       13279.7     0.0498   1.684E+01   1.4000   0.2916   2.349E-17   3.58358473E+00   8.24831071E+00
     660         13365     0.0386   1.721E+01   1.4000   0.3027   1.726E-17   3.58083827E+00   8.22988830E+00
     665       13450.5     0.0388   1.695E+01   1.4000   0.3827   1.724E-17   3.57811477E+00   8.21758830E+00
     670       13533.7     0.0498   1.733E+01   1.4000   0.3707   1.571E-17   3.57539520E+00   8.20513576E+00
     675       13620.3     0.0385   1.726E+01   1.4000   0.3474   1.901E-17   3.57242185E+00   8.19222434E+00
     680       13704.2     0.0388   1.628E+01   1.4000   0.2889   1.537E-17   3.56941915E+00   8.18369398E+00
     685         13786     0.0388   1.397E+01   1.2018   0.2776   1.656E-17   3.56641248E+00   8.17615637E+00
     690       13866.8     0.0495   1.693E+01   1.4000   0.2815   1.877E-17   3.56338731E+00   8.16758474E+00
     695       13952.8     0.0385   1.760E+01   1.4000   0.3336   1.812E-17   3.56010651E+00   8.15741505E+00
     700       14041.8     0.0383   1.845E+01   1.4000   0.3673   1.591E-17   3.55662805E+00   8.14728590E+00
     705       14118.5     0.0493   1.838E+01   1.4000   0.3295   1.912E-17   3.55357347E+00   8.13693622E+00
     710       14210.3     0.0384   1.737E+01   1.4000   0.2730   1.531E-17   3.54990400E+00   8.11941080E+00
     715       14295.8     0.0390   1.665E+01   1.4000   0.3021   1.695E-17   3.54651260E+00   8.09976212E+00
     720       14379.5     0.0391   1.711E+01   1.4000   0.3657   1.702E-17   3.54320505E+00   8.07752852E+00
     725       14451.4     0.1067   1.714E+01   1.4000   0.3227   2.276E-17   3.54037096E+00   8.05890147E+00
     730       14537.8     0.0386   1.741E+01   1.4000   0.3104   1.829E-17   3.53704789E+00   8.04082024E+00
