    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    2120       407.774    12.7508   1.932E-01   0.2170   0.4000   7.427E-16   2.82000083E-02   5.77153241E-04
    2140       411.637    12.7223   1.932E-01   0.2168   0.4000   7.403E-16   2.82000083E-02   5.76607851E-04
    2160       415.501    12.6396   1.932E-01   0.2167   0.4000   7.197E-16   2.82000083E-02   5.76059973E-04
    2180       419.365    12.7131   1.932E-01   0.2165   0.4000   7.260E-16   2.82000083E-02   5.75509607E-04
    2200       423.091    13.6690   1.932E-01   0.2164   0.4000   7.428E-16   2.82000083E-02   5.74976534E-04
    2220       426.955    12.6188   1.932E-01   0.2163   0.4000   7.360E-16   2.82000083E-02   5.74421292E-04
    2240       430.819    12.6636   1.932E-01   0.2162   0.4000   7.282E-16   2.82000083E-02   5.73863577E-04
    2260       434.683    12.7009   1.932E-01   0.2161   0.4000   7.317E-16   2.82000083E-02   5.73303397E-04
    2280       438.546    12.6530   1.932E-01   0.2160   0.4000   7.626E-16   2.82000083E-02   5.72740761E-04
    2300        442.41    12.8458   1.932E-01   0.2159   0.4000   7.620E-16   2.82000083E-02   5.72175682E-04
    2320       446.274    12.6873   1.932E-01   0.2158   0.4000   7.394E-16   2.82000083E-02   5.71608171E-04
    2340           450    12.9326   1.932E-01   0.2159   0.4000   6.659E-16   2.82000083E-02   5.71058629E-04
    2360       453.864    13.0533   1.932E-01   0.2160   0.4000   7.318E-16   2.82000083E-02   5.70486385E-04
    2380       457.728    12.8361   1.932E-01   0.2160   0.4000   7.104E-16   2.82000083E-02   5.69911755E-04
    2400       461.592    14.6933   1.932E-01   0.2161   0.4000   7.357E-16   2.82000083E-02   5.69334756E-04
    2420       465.455    12.9817   1.932E-01   0.2163   0.4000   7.296E-16   2.82000083E-02   5.68755405E-04
    2440       469.319    13.1524   1.932E-01   0.2164   0.4000   7.549E-16   2.82000083E-02   5.68173721E-04
    2460       473.183    12.9865   1.932E-01   0.2167   0.4000   7.231E-16   2.82000083E-02   5.67589721E-04
    2480       477.047    12.9578   1.932E-01   0.2174   0.4000   7.553E-16   2.82000083E-02   5.67003422E-04
    2500       480.773    13.8885   1.932E-01   0.2181   0.4000   7.641E-16   2.82000083E-02   5.66435888E-04
    2520       484.637    12.9901   1.932E-01   0.2189   0.4000   7.802E-16   2.82000083E-02   5.65845113E-04
    2540         488.5    12.8380   1.932E-01   0.2198   0.4000   7.402E-16   2.82000083E-02   5.65252074E-04
    2560       492.364    12.9021   1.932E-01   0.2210   0.4000   7.303E-16   2.82000083E-02   5.64656774E-04
    2580       496.228    13.0136   1.932E-01   0.2224   0.4000   7.115E-16   2.82000083E-02   5.64059208E-04
    2600       500.092    13.1541   1.932E-01   0.2238   0.4000   8.075E-16   2.82000084E-02   5.63459359E-04
    2620       503.956    12.9769   1.932E-01   0.2255   0.4000   7.813E-16   2.82000084E-02   5.62857197E-04
    2640        507.82    12.8951   1.932E-01   0.2276   0.4000   7.910E-16   2.82000084E-02   5.62252671E-04
    2660       511.546    13.0206   1.932E-01   0.2298   0.4000   7.386E-16   2.82000085E-02   5.61667413E-04
    2680       515.409    12.9828   1.932E-01   0.2323   0.4000   7.599E-16   2.82000085E-02   5.61057982E-04
    2700       519.273    12.8459   1.932E-01   0.2353   0.4000   7.034E-16   2.82000086E-02   5.60445842E-04
    2720       523.137    12.9587   1.932E-01   0.2388   0.4000   7.379E-16   2.82000086E-02   5.59830770E-04
